ano;mes;data;novos_projetos_contratados;valor_projetos_contratados;projetos_concluidos
2027;1;2027-01-01;62,70505050505051;102403937,73946977;26,288888888888756
2027;2;2027-02-01;57,45505050505057;100387129,23280318;21,62222222222213
2027;3;2027-03-01;66,12171717171718;111334447,14446978;26,372222222222106
2027;4;2027-04-01;63,70505050505049;124772555,4119698;23,70555555555541
2027;5;2027-05-01;65,70505050505045;122516739,25446974;24,955555555555378
2027;6;2027-06-01;63,89797979797981;110627443,47106071;25,932323232323096
2027;7;2027-07-01;67,80707070707071;114791246,79469706;28,568686868686733
2027;8;2027-08-01;67,17070707070708;119838773,51833342;26,750505050504916
2027;9;2027-09-01;66,8979797979798;117536043,11106071;26,750505050504916
2027;10;2027-10-01;69,8979797979798;121267311,65469706;27,11414141414128
2027;11;2027-11-01;77,07979797979799;135688448,8228789;33,11414141414128
2027;12;2027-12-01;94,53434343434344;177399768,18924254;40,477777777777646
